roi,i2c2_m,i2c2_r,i2c2_diff,i2c2_p,i2c2_m_better,discr_m,discr_r,discr_diff,discr_p,discr_m_better,finger_m,finger_r,finger_diff,finger_p,finger_m_better
98,0.372351274,0.34506047,0.027290804,0.975881336,0,0.946183222,0.910874296,0.035308926,0.349438,0,0.403669725,0.458715596,-0.055045872,0.763444991,0
99,0.267758484,0.356920308,-0.089161824,0.82662973,0,0.813726745,0.826175542,-0.012448797,0.9504369,0,0.165137615,0.220183486,-0.055045872,0.706980769,0
100,0.275111534,0.317241934,-0.0421304,0.988031355,0,0.820137822,0.795112221,0.025025602,0.750153516,0,0.110091743,0.165137615,-0.055045872,0.613870673,0
101,0.315435506,0.296486081,0.018949425,0.989002522,0,0.788978495,0.752080133,0.036898361,0.552928682,0,0.128440367,0.137614679,-0.009174312,0.989002522,0
102,0.292878041,0.332338568,-0.039460527,0.989002522,0,0.719843403,0.701314217,0.018529186,0.880513953,0,0.036697248,0.073394495,-0.036697248,0.627347073,0
103,0.363991034,0.357518471,0.006472564,1,0,0.726883854,0.711083503,0.015800351,0.917211715,0,0.04587156,0.091743119,-0.04587156,0.750464327,0
104,0.304223091,0.326036052,-0.021812961,0.989002522,0,0.783836832,0.744828831,0.039008001,0.500903014,0,0.064220183,0.119266055,-0.055045872,0.482344225,0
105,0.355240835,0.28164033,0.073600505,0.880513953,0,0.871633962,0.796487428,0.075146534,0.026752941,1,0.201834862,0.19266055,0.009174312,0.989002522,0
106,0.22448113,0.461465661,-0.236984531,0.541343307,0,0.766406383,0.777862725,-0.011456342,0.950615706,0,0.073394495,0.183486239,-0.110091743,0.140193204,0
107,0.282356125,0.289571563,-0.007215439,1,0,0.805224868,0.699383427,0.105841441,0,1,0.137614679,0.018348624,0.119266055,0.034502069,1
